#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa03010	Ribosome	35	131	0.55	9.21e-07	9606.ENSP00000260102,9606.ENSP00000260443,9606.ENSP00000268661,9606.ENSP00000270625,9606.ENSP00000274242,9606.ENSP00000296102,9606.ENSP00000300151,9606.ENSP00000309830,9606.ENSP00000318646,9606.ENSP00000333837,9606.ENSP00000341885,9606.ENSP00000346012,9606.ENSP00000346015,9606.ENSP00000346027,9606.ENSP00000346080,9606.ENSP00000348849,9606.ENSP00000355315,9606.ENSP00000362208,9606.ENSP00000375632,9606.ENSP00000377640,9606.ENSP00000378163,9606.ENSP00000385958,9606.ENSP00000386717,9606.ENSP00000403172,9606.ENSP00000418082,9606.ENSP00000420311,9606.ENSP00000428223,9606.ENSP00000431822,9606.ENSP00000452763,9606.ENSP00000463842,9606.ENSP00000464813,9606.ENSP00000472469,9606.ENSP00000494697,9606.ENSP00000495273,9606.ENSP00000497004	MRPL15,RSL24D1,RPL3L,RPS11,RPL37,MRPL33,MRPL16,RPL38,RPS15A,MRPL12,RPS2,RPL36AL,RPL27A,RPL21,RPL22L1,RPS26,RPL39,MRPS15,RPS9,RPL24,RPL34,RPS14,RPL31,RPL6,RPL37A,RPL23,RPL26L1,FAU,RPL28,RPL17,RPL27,RPS28,RPL9,RPS7,MRPL28
hsa00190	Oxidative phosphorylation	32	128	0.52	8.20e-06	9606.ENSP00000215565,9606.ENSP00000229379,9606.ENSP00000243997,9606.ENSP00000252102,9606.ENSP00000258424,9606.ENSP00000276689,9606.ENSP00000281031,9606.ENSP00000284727,9606.ENSP00000296684,9606.ENSP00000300688,9606.ENSP00000304891,9606.ENSP00000306003,9606.ENSP00000306397,9606.ENSP00000317159,9606.ENSP00000317780,9606.ENSP00000329757,9606.ENSP00000343885,9606.ENSP00000358737,9606.ENSP00000359098,9606.ENSP00000360492,9606.ENSP00000362058,9606.ENSP00000367938,9606.ENSP00000407336,9606.ENSP00000429690,9606.ENSP00000430494,9606.ENSP00000457513,9606.ENSP00000466818,9606.ENSP00000467262,9606.ENSP00000467266,9606.ENSP00000483888,9606.ENSP00000485401,9606.ENSP00000497474	NDUFB7,COX6A1,ATP5F1E,NDUFA2,COX5B,NDUFB9,NDUFC2,ATP5MC3,NDUFS4,ATP5MG,ATP6V1E2,ATP5ME,UQCRFS1,CYC1,COX5A,ATP6V0C,PPA2,ATP5PB,COX7A2,NDUFA1,NDUFS5,COX7A2L,NDUFB3,ATP6V0E1,UQCRB,COX4I1,COX6B1,UQCR11,COX6B2,NDUFB1,UQCRHL,COX7B
hsa05020	Prion disease	49	263	0.4	8.20e-06	9606.ENSP00000215565,9606.ENSP00000229379,9606.ENSP00000229795,9606.ENSP00000239938,9606.ENSP00000243997,9606.ENSP00000248437,9606.ENSP00000252102,9606.ENSP00000258341,9606.ENSP00000258424,9606.ENSP00000261303,9606.ENSP00000261479,9606.ENSP00000261623,9606.ENSP00000270586,9606.ENSP00000276689,9606.ENSP00000281031,9606.ENSP00000284727,9606.ENSP00000296684,9606.ENSP00000306397,9606.ENSP00000313967,9606.ENSP00000317159,9606.ENSP00000317780,9606.ENSP00000318697,9606.ENSP00000320295,9606.ENSP00000341289,9606.ENSP00000358737,9606.ENSP00000359098,9606.ENSP00000360492,9606.ENSP00000360671,9606.ENSP00000361635,9606.ENSP00000362058,9606.ENSP00000363770,9606.ENSP00000363773,9606.ENSP00000364805,9606.ENSP00000367938,9606.ENSP00000369703,9606.ENSP00000370808,9606.ENSP00000399376,9606.ENSP00000407336,9606.ENSP00000430494,9606.ENSP00000440485,9606.ENSP00000448665,9606.ENSP00000457513,9606.ENSP00000466818,9606.ENSP00000467262,9606.ENSP00000467266,9606.ENSP00000483688,9606.ENSP00000483888,9606.ENSP00000485401,9606.ENSP00000497474	NDUFB7,COX6A1,MAPK14,EGR1,ATP5F1E,TUBA4A,NDUFA2,LAMC1,COX5B,PSMC1,PSMA6,CYBA,PSMB6,NDUFB9,NDUFC2,ATP5MC3,NDUFS4,UQCRFS1,C1QB,CYC1,COX5A,TUBB6,TUBB3,TUBB4B,ATP5PB,COX7A2,NDUFA1,SLC25A5,VDAC2,NDUFS5,C1QC,C1QA,HSPA1L,COX7A2L,TUBB2A,SLC25A6,PRNP,NDUFB3,UQCRB,PSMD9,DDIT3,COX4I1,COX6B1,UQCR11,COX6B2,PSMB3,NDUFB1,UQCRHL,COX7B
hsa05012	Parkinson disease	45	236	0.41	1.08e-05	9606.ENSP00000215565,9606.ENSP00000216037,9606.ENSP00000229379,9606.ENSP00000239223,9606.ENSP00000243997,9606.ENSP00000248437,9606.ENSP00000252102,9606.ENSP00000258424,9606.ENSP00000261303,9606.ENSP00000261479,9606.ENSP00000270586,9606.ENSP00000276689,9606.ENSP00000281031,9606.ENSP00000284727,9606.ENSP00000296684,9606.ENSP00000306397,9606.ENSP00000317159,9606.ENSP00000317780,9606.ENSP00000318697,9606.ENSP00000320295,9606.ENSP00000340684,9606.ENSP00000341289,9606.ENSP00000358737,9606.ENSP00000359098,9606.ENSP00000360492,9606.ENSP00000360671,9606.ENSP00000361635,9606.ENSP00000362058,9606.ENSP00000363641,9606.ENSP00000367938,9606.ENSP00000369703,9606.ENSP00000370808,9606.ENSP00000407336,9606.ENSP00000430494,9606.ENSP00000440485,9606.ENSP00000448665,9606.ENSP00000451261,9606.ENSP00000457513,9606.ENSP00000466818,9606.ENSP00000467262,9606.ENSP00000467266,9606.ENSP00000483688,9606.ENSP00000483888,9606.ENSP00000485401,9606.ENSP00000497474	NDUFB7,XBP1,COX6A1,DUSP1,ATP5F1E,TUBA4A,NDUFA2,COX5B,PSMC1,PSMA6,PSMB6,NDUFB9,NDUFC2,ATP5MC3,NDUFS4,UQCRFS1,CYC1,COX5A,TUBB6,TUBB3,MAOA,TUBB4B,ATP5PB,COX7A2,NDUFA1,SLC25A5,VDAC2,NDUFS5,TXN,COX7A2L,TUBB2A,SLC25A6,NDUFB3,UQCRB,PSMD9,DDIT3,UBE2J1,COX4I1,COX6B1,UQCR11,COX6B2,PSMB3,NDUFB1,UQCRHL,COX7B
hsa01100	Metabolic pathways	156	1435	0.16	0.00039	9606.ENSP00000003100,9606.ENSP00000164139,9606.ENSP00000210444,9606.ENSP00000215565,9606.ENSP00000215904,9606.ENSP00000216392,9606.ENSP00000217426,9606.ENSP00000221130,9606.ENSP00000224356,9606.ENSP00000228510,9606.ENSP00000228740,9606.ENSP00000229266,9606.ENSP00000229379,9606.ENSP00000243997,9606.ENSP00000250615,9606.ENSP00000251363,9606.ENSP00000252102,9606.ENSP00000254759,9606.ENSP00000258424,9606.ENSP00000258874,9606.ENSP00000259727,9606.ENSP00000261507,9606.ENSP00000261733,9606.ENSP00000262764,9606.ENSP00000263368,9606.ENSP00000263370,9606.ENSP00000269097,9606.ENSP00000270776,9606.ENSP00000274031,9606.ENSP00000275428,9606.ENSP00000276689,9606.ENSP00000280097,9606.ENSP00000280362,9606.ENSP00000281031,9606.ENSP00000281243,9606.ENSP00000284727,9606.ENSP00000287713,9606.ENSP00000289004,9606.ENSP00000290429,9606.ENSP00000291565,9606.ENSP00000292147,9606.ENSP00000292432,9606.ENSP00000296684,9606.ENSP00000297785,9606.ENSP00000300688,9606.ENSP00000300900,9606.ENSP00000301012,9606.ENSP00000304891,9606.ENSP00000306003,9606.ENSP00000306397,9606.ENSP00000306817,9606.ENSP00000310873,9606.ENSP00000314606,9606.ENSP00000315644,9606.ENSP00000317159,9606.ENSP00000317780,9606.ENSP00000318142,9606.ENSP00000320171,9606.ENSP00000320337,9606.ENSP00000328938,9606.ENSP00000329214,9606.ENSP00000329757,9606.ENSP00000330032,9606.ENSP00000337060,9606.ENSP00000337572,9606.ENSP00000337701,9606.ENSP00000337746,9606.ENSP00000340684,9606.ENSP00000340736,9606.ENSP00000342026,9606.ENSP00000345023,9606.ENSP00000347046,9606.ENSP00000347206,9606.ENSP00000347717,9606.ENSP00000349446,9606.ENSP00000351602,9606.ENSP00000353165,9606.ENSP00000353770,9606.ENSP00000354532,9606.ENSP00000355308,9606.ENSP00000356047,9606.ENSP00000356198,9606.ENSP00000356864,9606.ENSP00000357838,9606.ENSP00000358107,9606.ENSP00000358719,9606.ENSP00000358727,9606.ENSP00000358737,9606.ENSP00000359098,9606.ENSP00000359976,9606.ENSP00000360296,9606.ENSP00000360492,9606.ENSP00000360761,9606.ENSP00000361894,9606.ENSP00000362058,9606.ENSP00000363397,9606.ENSP00000363590,9606.ENSP00000364212,9606.ENSP00000365601,9606.ENSP00000366007,9606.ENSP00000367446,9606.ENSP00000367938,9606.ENSP00000367992,9606.ENSP00000368140,9606.ENSP00000368572,9606.ENSP00000369442,9606.ENSP00000369530,9606.ENSP00000369927,9606.ENSP00000370194,9606.ENSP00000370517,9606.ENSP00000370748,9606.ENSP00000376886,9606.ENSP00000377617,9606.ENSP00000377814,9606.ENSP00000377845,9606.ENSP00000378176,9606.ENSP00000378743,9606.ENSP00000379512,9606.ENSP00000379683,9606.ENSP00000380070,9606.ENSP00000380184,9606.ENSP00000381231,9606.ENSP00000384484,9606.ENSP00000384629,9606.ENSP00000384999,9606.ENSP00000386935,9606.ENSP00000396308,9606.ENSP00000407336,9606.ENSP00000418669,9606.ENSP00000420161,9606.ENSP00000429690,9606.ENSP00000430494,9606.ENSP00000436047,9606.ENSP00000443459,9606.ENSP00000444935,9606.ENSP00000445175,9606.ENSP00000446828,9606.ENSP00000451976,9606.ENSP00000456019,9606.ENSP00000457513,9606.ENSP00000466818,9606.ENSP00000467262,9606.ENSP00000467266,9606.ENSP00000472474,9606.ENSP00000473348,9606.ENSP00000476228,9606.ENSP00000477796,9606.ENSP00000478253,9606.ENSP00000480476,9606.ENSP00000483888,9606.ENSP00000485401,9606.ENSP00000492001,9606.ENSP00000495530,9606.ENSP00000496166,9606.ENSP00000497474,9606.ENSP00000501111	CYP51A1,PYGM,NANS,NDUFB7,PDXP,PYGL,AHCY,GSR,CYP26A1,MVK,LTA4H,CHPT1,COX6A1,ATP5F1E,AANAT,CERS4,NDUFA2,COQ3,COX5B,MTHFS,GMPR,MSMO1,ALDH2,PGS1,BLVRB,ITPKC,G6PC3,PGD,SETD7,GGCT,NDUFB9,HNMT,PTS,NDUFC2,QDPR,ATP5MC3,NMNAT2,HPD,MCAT,PDXK,ETHE1,HK3,NDUFS4,ALDH1A1,ATP5MG,CA4,MVD,ATP6V1E2,ATP5ME,UQCRFS1,RBKS,COQ2,SGSH,TYMS,CYC1,COX5A,FUT7,PKM,PLAAT3,AFMID,ST6GALNAC3,ATP6V0C,UPP1,NME1,DGKH,PNPLA2,ISYNA1,MAOA,GYG1,PRDX6,GSTO2,PDE5A,GPAA1,DHCR7,ARG1,FUT4,TPK1,RRM2,PNP,HACD1,PFKFB2,CHIT1,MGST3,OAT,CA14,ME1,GSTO1,ATP5PB,COX7A2,CTH,PLPP3,NDUFA1,AGPAT2,GNMT,NDUFS5,UGCG,CSGALNACT2,CDA,IDNK,NMRK1,EXT1,COX7A2L,ESD,CRLS1,SAT1,KL,ALOX15B,AKR1C3,GMDS,PFKP,IDI1,NME2,MTHFD2,HDDC3,ASNS,SGMS2,AK4,MGST1,CYP19A1,GAPDH,GPAT4,CBS,ADCY3,KMT5A,P4HA2,UAP1L1,DHFR,NDUFB3,SEPHS2,B4GALT4,ATP6V0E1,UQCRB,ST3GAL4,BCAT1,PAFAH1B3,LDHA,BPNT1,GSTZ1,SQOR,COX4I1,COX6B1,UQCR11,COX6B2,IL4I1,H6PD,SIRT5,GCH1,MTHFD1L,OPLAH,NDUFB1,UQCRHL,PFKFB3,ENO1,ALDOA,COX7B,CEL
hsa04932	Non-alcoholic fatty liver disease	29	146	0.42	0.00061	9606.ENSP00000215565,9606.ENSP00000216037,9606.ENSP00000229379,9606.ENSP00000252102,9606.ENSP00000258424,9606.ENSP00000276689,9606.ENSP00000281031,9606.ENSP00000296684,9606.ENSP00000303830,9606.ENSP00000306397,9606.ENSP00000317159,9606.ENSP00000317780,9606.ENSP00000330341,9606.ENSP00000359098,9606.ENSP00000360492,9606.ENSP00000362058,9606.ENSP00000365016,9606.ENSP00000367938,9606.ENSP00000407336,9606.ENSP00000427514,9606.ENSP00000430494,9606.ENSP00000448665,9606.ENSP00000457513,9606.ENSP00000466818,9606.ENSP00000467262,9606.ENSP00000467266,9606.ENSP00000483888,9606.ENSP00000485401,9606.ENSP00000497474	NDUFB7,XBP1,COX6A1,NDUFA2,COX5B,NDUFB9,NDUFC2,NDUFS4,INSR,UQCRFS1,CYC1,COX5A,SOCS3,COX7A2,NDUFA1,NDUFS5,IRS2,COX7A2L,NDUFB3,CEBPA,UQCRB,DDIT3,COX4I1,COX6B1,UQCR11,COX6B2,NDUFB1,UQCRHL,COX7B
hsa05016	Huntington disease	46	295	0.32	0.00061	9606.ENSP00000215565,9606.ENSP00000222812,9606.ENSP00000229379,9606.ENSP00000243997,9606.ENSP00000248437,9606.ENSP00000252102,9606.ENSP00000258424,9606.ENSP00000261303,9606.ENSP00000261479,9606.ENSP00000265113,9606.ENSP00000270586,9606.ENSP00000276689,9606.ENSP00000281031,9606.ENSP00000284727,9606.ENSP00000287820,9606.ENSP00000296684,9606.ENSP00000306397,9606.ENSP00000317159,9606.ENSP00000317780,9606.ENSP00000318697,9606.ENSP00000320295,9606.ENSP00000324124,9606.ENSP00000341289,9606.ENSP00000358737,9606.ENSP00000359098,9606.ENSP00000360492,9606.ENSP00000360671,9606.ENSP00000361635,9606.ENSP00000362058,9606.ENSP00000367938,9606.ENSP00000369703,9606.ENSP00000370808,9606.ENSP00000374490,9606.ENSP00000407336,9606.ENSP00000408910,9606.ENSP00000430494,9606.ENSP00000440485,9606.ENSP00000457513,9606.ENSP00000466818,9606.ENSP00000467262,9606.ENSP00000467266,9606.ENSP00000483688,9606.ENSP00000483888,9606.ENSP00000485401,9606.ENSP00000489675,9606.ENSP00000497474	NDUFB7,STX1A,COX6A1,ATP5F1E,TUBA4A,NDUFA2,COX5B,PSMC1,PSMA6,SLC1A3,PSMB6,NDUFB9,NDUFC2,ATP5MC3,PPARG,NDUFS4,UQCRFS1,CYC1,COX5A,TUBB6,TUBB3,POLR2L,TUBB4B,ATP5PB,COX7A2,NDUFA1,SLC25A5,VDAC2,NDUFS5,COX7A2L,TUBB2A,SLC25A6,DNAH17,NDUFB3,DCTN2,UQCRB,PSMD9,COX4I1,COX6B1,UQCR11,COX6B2,PSMB3,NDUFB1,UQCRHL,DNAH10,COX7B
hsa04714	Thermogenesis	38	226	0.35	0.00066	9606.ENSP00000215565,9606.ENSP00000229379,9606.ENSP00000229795,9606.ENSP00000243997,9606.ENSP00000252102,9606.ENSP00000258424,9606.ENSP00000262188,9606.ENSP00000276689,9606.ENSP00000281031,9606.ENSP00000284727,9606.ENSP00000287820,9606.ENSP00000296684,9606.ENSP00000300688,9606.ENSP00000306003,9606.ENSP00000306397,9606.ENSP00000317159,9606.ENSP00000317780,9606.ENSP00000326052,9606.ENSP00000337701,9606.ENSP00000345083,9606.ENSP00000355574,9606.ENSP00000358737,9606.ENSP00000359098,9606.ENSP00000360492,9606.ENSP00000360593,9606.ENSP00000362058,9606.ENSP00000367938,9606.ENSP00000384484,9606.ENSP00000393312,9606.ENSP00000407336,9606.ENSP00000430494,9606.ENSP00000457513,9606.ENSP00000466818,9606.ENSP00000467262,9606.ENSP00000467266,9606.ENSP00000483888,9606.ENSP00000485401,9606.ENSP00000497474	NDUFB7,COX6A1,MAPK14,ATP5F1E,NDUFA2,COX5B,SMARCD3,NDUFB9,NDUFC2,ATP5MC3,PPARG,NDUFS4,ATP5MG,ATP5ME,UQCRFS1,CYC1,COX5A,COX14,PNPLA2,MAP2K3,COA6,ATP5PB,COX7A2,NDUFA1,COA7,NDUFS5,COX7A2L,ADCY3,FGFR1,NDUFB3,UQCRB,COX4I1,COX6B1,UQCR11,COX6B2,NDUFB1,UQCRHL,COX7B
hsa05014	Amyotrophic lateral sclerosis	51	350	0.29	0.00080	9606.ENSP00000215565,9606.ENSP00000216037,9606.ENSP00000229379,9606.ENSP00000229795,9606.ENSP00000243997,9606.ENSP00000248437,9606.ENSP00000252102,9606.ENSP00000254998,9606.ENSP00000258424,9606.ENSP00000261303,9606.ENSP00000261479,9606.ENSP00000270586,9606.ENSP00000276689,9606.ENSP00000281031,9606.ENSP00000284727,9606.ENSP00000287842,9606.ENSP00000296684,9606.ENSP00000306397,9606.ENSP00000306866,9606.ENSP00000317159,9606.ENSP00000317780,9606.ENSP00000318697,9606.ENSP00000320295,9606.ENSP00000336762,9606.ENSP00000341289,9606.ENSP00000345083,9606.ENSP00000356967,9606.ENSP00000358737,9606.ENSP00000359098,9606.ENSP00000360492,9606.ENSP00000362058,9606.ENSP00000367938,9606.ENSP00000369703,9606.ENSP00000374490,9606.ENSP00000378504,9606.ENSP00000407336,9606.ENSP00000408910,9606.ENSP00000421592,9606.ENSP00000430494,9606.ENSP00000440485,9606.ENSP00000448665,9606.ENSP00000457513,9606.ENSP00000466818,9606.ENSP00000467262,9606.ENSP00000467266,9606.ENSP00000468348,9606.ENSP00000483688,9606.ENSP00000483888,9606.ENSP00000485401,9606.ENSP00000489675,9606.ENSP00000497474	NDUFB7,XBP1,COX6A1,MAPK14,ATP5F1E,TUBA4A,NDUFA2,NXT1,COX5B,PSMC1,PSMA6,PSMB6,NDUFB9,NDUFC2,ATP5MC3,NRG1,NDUFS4,UQCRFS1,GABARAP,CYC1,COX5A,TUBB6,TUBB3,ANG,TUBB4B,MAP2K3,TOMM40L,ATP5PB,COX7A2,NDUFA1,NDUFS5,COX7A2L,TUBB2A,DNAH17,NXF3,NDUFB3,DCTN2,ALYREF,UQCRB,PSMD9,DDIT3,COX4I1,COX6B1,UQCR11,COX6B2,MAP2K6,PSMB3,NDUFB1,UQCRHL,DNAH10,COX7B
hsa05010	Alzheimer disease	50	354	0.28	0.0018	9606.ENSP00000215565,9606.ENSP00000216037,9606.ENSP00000229379,9606.ENSP00000243077,9606.ENSP00000243997,9606.ENSP00000248437,9606.ENSP00000252102,9606.ENSP00000258424,9606.ENSP00000261303,9606.ENSP00000261349,9606.ENSP00000261479,9606.ENSP00000270586,9606.ENSP00000276689,9606.ENSP00000281031,9606.ENSP00000284727,9606.ENSP00000284981,9606.ENSP00000287934,9606.ENSP00000296684,9606.ENSP00000303830,9606.ENSP00000306397,9606.ENSP00000317159,9606.ENSP00000317780,9606.ENSP00000318697,9606.ENSP00000320295,9606.ENSP00000341289,9606.ENSP00000358737,9606.ENSP00000359098,9606.ENSP00000360492,9606.ENSP00000360671,9606.ENSP00000361635,9606.ENSP00000362058,9606.ENSP00000365016,9606.ENSP00000367050,9606.ENSP00000367938,9606.ENSP00000369703,9606.ENSP00000370808,9606.ENSP00000380070,9606.ENSP00000407336,9606.ENSP00000430494,9606.ENSP00000440485,9606.ENSP00000448665,9606.ENSP00000457513,9606.ENSP00000466818,9606.ENSP00000467262,9606.ENSP00000467266,9606.ENSP00000483688,9606.ENSP00000483888,9606.ENSP00000485401,9606.ENSP00000497474,9606.ENSP00000497642	NDUFB7,XBP1,COX6A1,LRP1,ATP5F1E,TUBA4A,NDUFA2,COX5B,PSMC1,LRP6,PSMA6,PSMB6,NDUFB9,NDUFC2,ATP5MC3,APP,FZD1,NDUFS4,INSR,UQCRFS1,CYC1,COX5A,TUBB6,TUBB3,TUBB4B,ATP5PB,COX7A2,NDUFA1,SLC25A5,VDAC2,NDUFS5,IRS2,RTN3,COX7A2L,TUBB2A,SLC25A6,GAPDH,NDUFB3,UQCRB,PSMD9,DDIT3,COX4I1,COX6B1,UQCR11,COX6B2,PSMB3,NDUFB1,UQCRHL,COX7B,LPL
