#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:34721400	(2021) Immune Response in Severe and Non-Severe Coronavirus Disease 2019 (COVID-19) Infection: A Mechanistic Landscape.	77	310	0.52	1.42e-10	9606.ENSP00000215565,9606.ENSP00000215631,9606.ENSP00000216037,9606.ENSP00000216336,9606.ENSP00000216797,9606.ENSP00000221515,9606.ENSP00000221978,9606.ENSP00000225275,9606.ENSP00000228825,9606.ENSP00000229379,9606.ENSP00000234347,9606.ENSP00000236671,9606.ENSP00000236826,9606.ENSP00000239223,9606.ENSP00000239938,9606.ENSP00000242465,9606.ENSP00000252818,9606.ENSP00000258424,9606.ENSP00000261233,9606.ENSP00000261623,9606.ENSP00000262407,9606.ENSP00000264260,9606.ENSP00000264474,9606.ENSP00000264832,9606.ENSP00000265077,9606.ENSP00000276062,9606.ENSP00000278865,9606.ENSP00000281031,9606.ENSP00000289902,9606.ENSP00000293778,9606.ENSP00000296028,9606.ENSP00000309124,9606.ENSP00000310170,9606.ENSP00000312027,9606.ENSP00000312150,9606.ENSP00000313967,9606.ENSP00000315130,9606.ENSP00000330825,9606.ENSP00000335153,9606.ENSP00000346032,9606.ENSP00000351602,9606.ENSP00000352071,9606.ENSP00000355996,9606.ENSP00000356030,9606.ENSP00000357643,9606.ENSP00000357704,9606.ENSP00000357726,9606.ENSP00000358165,9606.ENSP00000359098,9606.ENSP00000359540,9606.ENSP00000360492,9606.ENSP00000362108,9606.ENSP00000363773,9606.ENSP00000363804,9606.ENSP00000366109,9606.ENSP00000368450,9606.ENSP00000368458,9606.ENSP00000369703,9606.ENSP00000376276,9606.ENSP00000378699,9606.ENSP00000380070,9606.ENSP00000387211,9606.ENSP00000398632,9606.ENSP00000402855,9606.ENSP00000409555,9606.ENSP00000420384,9606.ENSP00000430494,9606.ENSP00000447730,9606.ENSP00000457513,9606.ENSP00000466090,9606.ENSP00000467262,9606.ENSP00000477908,9606.ENSP00000479870,9606.ENSP00000483430,9606.ENSP00000483888,9606.ENSP00000484689,9606.ENSP00000496959	NDUFB7,GADD45B,XBP1,CTSG,NFKBIA,RETN,NKG7,MPO,ARPC3,COX6A1,PRTN3,CTSD,MMP8,DUSP1,EGR1,SRGN,JUND,COX5B,IRAK3,CYBA,ITGA2B,IL18RAP,CSTA,ICAM1,VCAN,NDUFB11,MS4A3,NDUFC2,FCER1G,CXCL16,PPBP,OLR1,FOSL1,CD7,TRIB1,C1QB,CLU,IFITM1,HSP90AA1,ANXA2,FUT4,CD163,G0S2,CD55,MKI67,S100A4,S100A12,FCGR1A,COX7A2,CREG1,NDUFA1,LCN2,C1QA,KLF4,ANXA1,CD83,PCNA,TUBB2A,SRSF2,CDK1,GAPDH,IL18R1,CD44,TREML1,HERPUD1,CST7,UQCRB,CD63,COX4I1,ELANE,UQCR11,CCL3,ALOX5AP,IFI27,NDUFB1,IFITM2,ITGAM
PMID:37066298	(2023) Brain and blood single-cell transcriptomics in acute and subacute phases after experimental stroke.	53	198	0.55	5.14e-07	9606.ENSP00000215631,9606.ENSP00000215909,9606.ENSP00000221978,9606.ENSP00000228938,9606.ENSP00000231751,9606.ENSP00000236671,9606.ENSP00000236826,9606.ENSP00000238508,9606.ENSP00000239938,9606.ENSP00000254301,9606.ENSP00000264474,9606.ENSP00000264832,9606.ENSP00000268638,9606.ENSP00000271638,9606.ENSP00000291568,9606.ENSP00000296028,9606.ENSP00000296522,9606.ENSP00000297258,9606.ENSP00000299663,9606.ENSP00000299665,9606.ENSP00000300035,9606.ENSP00000300900,9606.ENSP00000301633,9606.ENSP00000305422,9606.ENSP00000312946,9606.ENSP00000313967,9606.ENSP00000315130,9606.ENSP00000315644,9606.ENSP00000339328,9606.ENSP00000345344,9606.ENSP00000346032,9606.ENSP00000350224,9606.ENSP00000357704,9606.ENSP00000359540,9606.ENSP00000360296,9606.ENSP00000362108,9606.ENSP00000363770,9606.ENSP00000363773,9606.ENSP00000363804,9606.ENSP00000366109,9606.ENSP00000368450,9606.ENSP00000368458,9606.ENSP00000376553,9606.ENSP00000379097,9606.ENSP00000387211,9606.ENSP00000405453,9606.ENSP00000420384,9606.ENSP00000427279,9606.ENSP00000433760,9606.ENSP00000447730,9606.ENSP00000455897,9606.ENSP00000477908,9606.ENSP00000484261	GADD45B,LGALS1,NKG7,MGP,LTF,CTSD,MMP8,SERPINB10,EGR1,LGALS3,CSTA,ICAM1,IRF8,S100A11,CSTB,PPBP,HPGD,FABP5,CLEC4E,CLEC4D,PCLAF,CA4,BIRC5,CEBPB,STAB1,C1QB,CLU,TYMS,PLAUR,CTSL,ANXA2,BMX,S100A4,CREG1,PLPP3,LCN2,C1QC,C1QA,KLF4,ANXA1,CD83,PCNA,TMEM119,AREG,IL18R1,MSR1,CST7,CXCL2,BANF1,CD63,MRC1,CCL3,H2AB1
PMID:35954228	(2022) Profiling Microglia through Single-Cell RNA Sequencing over the Course of Development, Aging, and Disease.	45	145	0.62	5.14e-07	9606.ENSP00000215909,9606.ENSP00000216797,9606.ENSP00000231061,9606.ENSP00000236671,9606.ENSP00000239938,9606.ENSP00000254301,9606.ENSP00000268638,9606.ENSP00000273550,9606.ENSP00000282397,9606.ENSP00000288207,9606.ENSP00000289316,9606.ENSP00000293778,9606.ENSP00000297258,9606.ENSP00000301633,9606.ENSP00000312946,9606.ENSP00000313391,9606.ENSP00000313967,9606.ENSP00000318057,9606.ENSP00000320171,9606.ENSP00000346032,9606.ENSP00000348838,9606.ENSP00000352071,9606.ENSP00000353770,9606.ENSP00000357643,9606.ENSP00000362410,9606.ENSP00000363770,9606.ENSP00000363773,9606.ENSP00000366525,9606.ENSP00000366641,9606.ENSP00000368458,9606.ENSP00000369286,9606.ENSP00000375616,9606.ENSP00000376553,9606.ENSP00000385958,9606.ENSP00000412237,9606.ENSP00000420384,9606.ENSP00000445175,9606.ENSP00000445633,9606.ENSP00000447730,9606.ENSP00000450310,9606.ENSP00000455897,9606.ENSP00000477908,9606.ENSP00000495530,9606.ENSP00000496166,9606.ENSP00000496959	LGALS1,NFKBIA,SPARC,CTSD,EGR1,LGALS3,IRF8,FTH1,FLT1,CCNB2,H2BC5,CXCL16,FABP5,BIRC5,STAB1,DAB2,C1QB,EGR3,PKM,ANXA2,UBE2C,CD163,RRM2,MKI67,MAFB,C1QC,C1QA,FTL,SLC2A5,PCNA,LY86,LILRB4,TMEM119,RPS14,IL10,CST7,LDHA,H2BC8,CD63,GPR84,MRC1,CCL3,ENO1,ALDOA,ITGAM
PMID:34042322	(2022) Expansion of Fcgamma Receptor IIIa-Positive Macrophages, Ficolin 1-Positive Monocyte-Derived Dendritic Cells, and Plasmacytoid Dendritic Cells Associated With Severe Skin Disease in Systemic Sclerosis.	41	125	0.64	6.85e-07	9606.ENSP00000221978,9606.ENSP00000234313,9606.ENSP00000239938,9606.ENSP00000241453,9606.ENSP00000260356,9606.ENSP00000264832,9606.ENSP00000265077,9606.ENSP00000265372,9606.ENSP00000268638,9606.ENSP00000297258,9606.ENSP00000300035,9606.ENSP00000305422,9606.ENSP00000309124,9606.ENSP00000313437,9606.ENSP00000315644,9606.ENSP00000320171,9606.ENSP00000338648,9606.ENSP00000345344,9606.ENSP00000352071,9606.ENSP00000357643,9606.ENSP00000360871,9606.ENSP00000361405,9606.ENSP00000363770,9606.ENSP00000363773,9606.ENSP00000363804,9606.ENSP00000366109,9606.ENSP00000368458,9606.ENSP00000375616,9606.ENSP00000376395,9606.ENSP00000377536,9606.ENSP00000378699,9606.ENSP00000404236,9606.ENSP00000405453,9606.ENSP00000412237,9606.ENSP00000420384,9606.ENSP00000427279,9606.ENSP00000477908,9606.ENSP00000481570,9606.ENSP00000483430,9606.ENSP00000484689,9606.ENSP00000496959	NKG7,PLEK,EGR1,FLT3,THBS1,ICAM1,VCAN,CREM,IRF8,FABP5,PCLAF,CEBPB,OLR1,MMP19,TYMS,PKM,MS4A4A,CTSL,CD163,MKI67,FCN1,MMP9,C1QC,C1QA,KLF4,ANXA1,PCNA,LILRB4,CD300E,PTTG1,CDK1,LILRA5,MSR1,IL10,CST7,CXCL2,CCL3,TNFAIP3,IFI27,IFITM2,ITGAM
PMID:37085477	(2023) Immune cell dynamics deconvoluted by single-cell RNA sequencing in normothermic machine perfusion of the liver.	38	109	0.67	7.11e-07	9606.ENSP00000221978,9606.ENSP00000236826,9606.ENSP00000241453,9606.ENSP00000261267,9606.ENSP00000264474,9606.ENSP00000264832,9606.ENSP00000265077,9606.ENSP00000266671,9606.ENSP00000282397,9606.ENSP00000287820,9606.ENSP00000297258,9606.ENSP00000309124,9606.ENSP00000313437,9606.ENSP00000313967,9606.ENSP00000345344,9606.ENSP00000351602,9606.ENSP00000352071,9606.ENSP00000355996,9606.ENSP00000357726,9606.ENSP00000358165,9606.ENSP00000360871,9606.ENSP00000361405,9606.ENSP00000361850,9606.ENSP00000362410,9606.ENSP00000363770,9606.ENSP00000363869,9606.ENSP00000364597,9606.ENSP00000368450,9606.ENSP00000381448,9606.ENSP00000398632,9606.ENSP00000412237,9606.ENSP00000413720,9606.ENSP00000440066,9606.ENSP00000455897,9606.ENSP00000472474,9606.ENSP00000477908,9606.ENSP00000484689,9606.ENSP00000496959	NKG7,MMP8,FLT3,LYZ,CSTA,ICAM1,VCAN,PHLDA1,FLT1,PPARG,FABP5,OLR1,MMP19,C1QB,CTSL,FUT4,CD163,G0S2,S100A12,FCGR1A,FCN1,MMP9,PLAU,MAFB,C1QC,VSIG4,PADI4,CD83,CST3,CD44,IL10,CDKN1C,JCHAIN,MRC1,IL4I1,CCL3,IFITM2,ITGAM
PMID:20652028	(2010) Genome-wide expression profiling deciphers host responses altered during dengue shock syndrome and reveals the role of innate immunity in severe dengue.	28	55	0.83	7.11e-07	9606.ENSP00000199764,9606.ENSP00000216336,9606.ENSP00000221515,9606.ENSP00000225275,9606.ENSP00000228740,9606.ENSP00000231751,9606.ENSP00000236826,9606.ENSP00000244336,9606.ENSP00000265077,9606.ENSP00000287820,9606.ENSP00000295927,9606.ENSP00000297435,9606.ENSP00000303208,9606.ENSP00000309124,9606.ENSP00000328359,9606.ENSP00000336762,9606.ENSP00000349446,9606.ENSP00000356198,9606.ENSP00000357726,9606.ENSP00000361405,9606.ENSP00000363869,9606.ENSP00000365016,9606.ENSP00000369530,9606.ENSP00000372136,9606.ENSP00000405453,9606.ENSP00000412237,9606.ENSP00000466090,9606.ENSP00000480322	CEACAM6,CTSG,RETN,MPO,LTA4H,LTF,MMP8,CEACAM8,VCAN,PPARG,PTX3,DEFA4,PCSK9,OLR1,DEFA3,ANG,ARG1,CHIT1,S100A12,MMP9,VSIG4,IRS2,ALOX15B,DEFA1B,MSR1,IL10,ELANE,CD99L2
PMID:37706320	(2023) Single-Cell RNA Sequencing of Coronary Perivascular Adipose Tissue From End-Stage Heart Failure Patients Identifies SPP1(+) Macrophage Subpopulation as a Target for Alleviating Fibrosis.	41	129	0.63	9.08e-07	9606.ENSP00000164227,9606.ENSP00000221978,9606.ENSP00000224784,9606.ENSP00000228938,9606.ENSP00000231751,9606.ENSP00000236826,9606.ENSP00000239938,9606.ENSP00000241453,9606.ENSP00000260356,9606.ENSP00000261267,9606.ENSP00000265077,9606.ENSP00000266671,9606.ENSP00000273550,9606.ENSP00000287820,9606.ENSP00000297258,9606.ENSP00000300900,9606.ENSP00000315644,9606.ENSP00000330341,9606.ENSP00000334938,9606.ENSP00000342082,9606.ENSP00000352071,9606.ENSP00000355996,9606.ENSP00000356030,9606.ENSP00000357643,9606.ENSP00000360671,9606.ENSP00000360871,9606.ENSP00000363641,9606.ENSP00000366109,9606.ENSP00000366525,9606.ENSP00000368664,9606.ENSP00000376678,9606.ENSP00000377995,9606.ENSP00000379097,9606.ENSP00000381057,9606.ENSP00000398632,9606.ENSP00000420384,9606.ENSP00000477908,9606.ENSP00000481570,9606.ENSP00000496959,9606.ENSP00000497642,9606.ENSP00000498879	BCL3,NKG7,ACTA2,MGP,LTF,MMP8,EGR1,FLT3,THBS1,LYZ,VCAN,PHLDA1,FTH1,PPARG,FABP5,CA4,TYMS,SOCS3,UPK3B,SLPI,CD163,G0S2,CD55,MKI67,SLC25A5,FCN1,TXN,ANXA1,FTL,RGCC,TAGLN,MT1X,AREG,RNASE1,CD44,CST7,CCL3,TNFAIP3,ITGAM,LPL,CD59
PMID:32737302	(2020) Signatures of co-deregulated genes and their transcriptional regulators in colorectal cancer.	47	171	0.57	1.45e-06	9606.ENSP00000199764,9606.ENSP00000215909,9606.ENSP00000229795,9606.ENSP00000252818,9606.ENSP00000254322,9606.ENSP00000256951,9606.ENSP00000261267,9606.ENSP00000264552,9606.ENSP00000266671,9606.ENSP00000271638,9606.ENSP00000276062,9606.ENSP00000284981,9606.ENSP00000287820,9606.ENSP00000310170,9606.ENSP00000315130,9606.ENSP00000319231,9606.ENSP00000330825,9606.ENSP00000332198,9606.ENSP00000335153,9606.ENSP00000345571,9606.ENSP00000346032,9606.ENSP00000348849,9606.ENSP00000350098,9606.ENSP00000353344,9606.ENSP00000357704,9606.ENSP00000359675,9606.ENSP00000360124,9606.ENSP00000361818,9606.ENSP00000363804,9606.ENSP00000365280,9606.ENSP00000365505,9606.ENSP00000377995,9606.ENSP00000378163,9606.ENSP00000378699,9606.ENSP00000378812,9606.ENSP00000380070,9606.ENSP00000380281,9606.ENSP00000398632,9606.ENSP00000404854,9606.ENSP00000416330,9606.ENSP00000418082,9606.ENSP00000419449,9606.ENSP00000445175,9606.ENSP00000469240,9606.ENSP00000483430,9606.ENSP00000484689,9606.ENSP00000496166	CEACAM6,LGALS1,MAPK14,JUND,DNAJB1,EMP1,LYZ,UBE2S,PHLDA1,S100A11,NDUFB11,APP,PPARG,FOSL1,CLU,PHLDA2,IFITM1,NOP10,HSP90AA1,E2F1,ANXA2,RPS26,POP5,ETS2,S100A4,GNG5,PGM1,SDC4,KLF4,ID1,PLP2,MT1X,RPL34,CDK1,CHCHD2,GAPDH,GPER1,CD44,NDRG1,TGFBI,RPL37A,EIF1,LDHA,CHMP2A,IFI27,IFITM2,ALDOA
PMID:32793601	(2020) Species-Specificity of Transcriptional Regulation and the Response to Lipopolysaccharide in Mammalian Macrophages.	52	208	0.52	1.92e-06	9606.ENSP00000075120,9606.ENSP00000164227,9606.ENSP00000215631,9606.ENSP00000216797,9606.ENSP00000236671,9606.ENSP00000239223,9606.ENSP00000239938,9606.ENSP00000252595,9606.ENSP00000254301,9606.ENSP00000257787,9606.ENSP00000259874,9606.ENSP00000268638,9606.ENSP00000271638,9606.ENSP00000271651,9606.ENSP00000284818,9606.ENSP00000297689,9606.ENSP00000299663,9606.ENSP00000305422,9606.ENSP00000310170,9606.ENSP00000313437,9606.ENSP00000313967,9606.ENSP00000320171,9606.ENSP00000329757,9606.ENSP00000330341,9606.ENSP00000341610,9606.ENSP00000342307,9606.ENSP00000345344,9606.ENSP00000349446,9606.ENSP00000351671,9606.ENSP00000352071,9606.ENSP00000353344,9606.ENSP00000357704,9606.ENSP00000357709,9606.ENSP00000357726,9606.ENSP00000357838,9606.ENSP00000358596,9606.ENSP00000360966,9606.ENSP00000361405,9606.ENSP00000362410,9606.ENSP00000363773,9606.ENSP00000363804,9606.ENSP00000363869,9606.ENSP00000364212,9606.ENSP00000367123,9606.ENSP00000386165,9606.ENSP00000412237,9606.ENSP00000416293,9606.ENSP00000444408,9606.ENSP00000447730,9606.ENSP00000477908,9606.ENSP00000481570,9606.ENSP00000492001	SLC2A3,BCL3,GADD45B,NFKBIA,CTSD,DUSP1,EGR1,SLC27A1,LGALS3,AKIRIN2,IER3,IRF8,S100A11,CTSK,LY96,NFIL3,CLEC4E,CEBPB,FOSL1,MMP19,C1QB,PKM,ATP6V0C,SOCS3,C15orf48,FOXM1,CTSL,ARG1,CCL20,CD163,ETS2,S100A4,S100A6,S100A12,OAT,DUSP5,SLC2A6,MMP9,MAFB,C1QA,KLF4,VSIG4,CDA,SLC3A2,CEBPD,IL10,SLC2A1,SLC1A5,CD63,CCL3,TNFAIP3,PFKFB3
PMID:31615030	(2019) Gene Expression Profiling of the Extracellular Matrix Signature in Macrophages of Different Activation Status: Relevance for Skin Wound Healing.	41	134	0.61	1.92e-06	9606.ENSP00000215909,9606.ENSP00000218388,9606.ENSP00000220166,9606.ENSP00000223795,9606.ENSP00000231061,9606.ENSP00000236671,9606.ENSP00000242465,9606.ENSP00000251582,9606.ENSP00000254301,9606.ENSP00000258341,9606.ENSP00000265077,9606.ENSP00000271638,9606.ENSP00000271651,9606.ENSP00000291568,9606.ENSP00000296028,9606.ENSP00000313437,9606.ENSP00000317128,9606.ENSP00000321797,9606.ENSP00000322323,9606.ENSP00000335196,9606.ENSP00000345344,9606.ENSP00000346032,9606.ENSP00000349436,9606.ENSP00000352288,9606.ENSP00000357704,9606.ENSP00000357709,9606.ENSP00000360871,9606.ENSP00000361405,9606.ENSP00000361850,9606.ENSP00000363773,9606.ENSP00000366109,9606.ENSP00000370115,9606.ENSP00000379097,9606.ENSP00000381448,9606.ENSP00000398632,9606.ENSP00000416330,9606.ENSP00000427279,9606.ENSP00000466090,9606.ENSP00000477908,9606.ENSP00000480558,9606.ENSP00000496959	LGALS1,TIMP1,CTSH,TNFSF8,SPARC,CTSD,SRGN,ADAMTS2,LGALS3,LAMC1,VCAN,S100A11,CTSK,CSTB,PPBP,MMP19,PLXND1,FGF8,FAM20C,GLDN,CTSL,ANXA2,ADAM15,PLXNB2,S100A4,S100A6,FCN1,MMP9,PLAU,C1QA,ANXA1,SERPINB1,AREG,CST3,CD44,TGFBI,CXCL2,ELANE,CCL3,CCL3L1,ITGAM
