Sample name	condition	Total reads	Read length	Avg. read quality	% N	% GC
A1	ARDS_patient	26223634	150.0	35.2132	5.91947E-4	50.0672
A2	ARDS_patient	27443816	150.0	35.8361	5.78309E-4	49.284
A3	ARDS_patient	45558387	150.0	36.0133	0.00296016	50.5934
A4	ARDS_patient	29582969	150.0	35.1821	0.00297739	49.4226
A5	ARDS_patient	37526336	150.0	35.6532	0.00292796	50.4568
H1	Healthy_control	27593921	150.0	35.2273	5.94998E-4	49.1694
H2	Healthy_control	23536823	150.0	35.3194	5.77407E-4	49.9951
H5	Healthy_control	51566855	150.0	35.8927	0.00295833	49.4292
H6	Healthy_control	44100268	150.0	35.9082	0.0029366	49.1202
HD4	Healthy_control	49759711	150.0	35.8616	0.00295943	49.5628
