Sample name	condition	Total reads	Avg. read length	Avg. read quality	% N	% GC
A1	ARDS_patient	26223634	149.857	35.2144	5.9251E-4	50.0692
A2	ARDS_patient	27443816	149.855	35.8366	5.78856E-4	49.2861
A3	ARDS_patient	45558387	149.859	36.0137	0.00296294	50.5962
A4	ARDS_patient	29582963	149.873	35.1827	0.00297991	49.4228
A5	ARDS_patient	37526336	149.867	35.6538	0.00293056	50.4584
H1	Healthy_control	27593921	149.851	35.2287	5.9559E-4	49.1711
H2	Healthy_control	23536823	149.841	35.3207	5.7802E-4	49.9965
H5	Healthy_control	51566853	149.853	35.8933	0.00296122	49.4313
H6	Healthy_control	44100268	149.858	35.9087	0.00293939	49.1221
HD4	Healthy_control	49759710	149.857	35.862	0.00296226	49.5651
