Sample name	condition	Total reads	Avg. read length	Avg. read quality	% N	% GC
A1	ARDS_patient	25686768	149.857	35.2079	5.94506E-4	50.001
A2	ARDS_patient	27033985	149.855	35.833	5.78821E-4	49.2556
A3	ARDS_patient	44659236	149.858	36.0094	0.00299799	50.5281
A4	ARDS_patient	29131004	149.873	35.1672	0.00300411	49.5044
A5	ARDS_patient	36845146	149.866	35.6441	0.0029614	50.5692
H1	Healthy_control	27394040	149.851	35.2266	5.96563E-4	49.1622
H2	Healthy_control	22987221	149.84	35.3161	5.79781E-4	49.9024
H5	Healthy_control	50938465	149.853	35.8903	0.00298335	49.4203
H6	Healthy_control	43570688	149.857	35.9053	0.00295953	49.0986
HD4	Healthy_control	48927072	149.856	35.8567	0.00299057	49.4818
