Sample name	condition	Total reads	Total alignments	Aligned	Total unaligned	Unaligned	Total unique singleton	Unique singleton	Total unique paired	Unique paired	Total non-unique paired	Non-unique paired	Total non-unique singleton	Non-unique singleton	Coverage	Avg. coverage depth	Avg. length	Avg. quality	%GC
A1	ARDS_patient	25686768	49337726	76.73604168496404	5975759	23.263958315035975	0	0.0	17652461	68.72200114860694	2058548	8.014040536357085	0	0.0	3.32681	64.7861	149.855	35.6075	51.0352
A2	ARDS_patient	27033985	54957966	84.5196666344233	4184951	15.480333365576698	0	0.0	20879002	77.23242429852647	1970032	7.287242335896835	0	0.0	6.00264	40.8894	149.852	36.0985	50.0375
A3	ARDS_patient	44659236	97402068	85.37785330676056	6530139	14.622146693239447	0	0.0	33959737	76.04191213660708	4169360	9.33594117015347	0	0.0	4.41921	97.9115	149.857	36.2554	51.3976
A4	ARDS_patient	29131004	51404066	66.64283180902382	9717278	33.35716819097618	0	0.0	16794490	57.65160033619164	2619236	8.991231472832176	0	0.0	2.19615	101.023	149.867	36.154	49.7984
A5	ARDS_patient	36845146	71395616	77.87935756856548	8150383	22.120642431434522	0	0.0	25830919	70.1067082214846	2863844	7.772649347080889	0	0.0	2.58133	121.756	149.863	36.1589	51.2229
H1	Healthy_control	27394040	53064710	78.7694294087327	5815911	21.2305705912673	0	0.0	19497573	71.17450730158824	2080556	7.594922107144473	0	0.0	4.52863	51.4863	149.851	35.5608	50.1262
H2	Healthy_control	22987221	45788452	78.92377682365345	4844838	21.076223176346545	0	0.0	16118662	70.12009846688298	2023721	8.803678356770487	0	0.0	3.2442	61.7405	149.841	35.5986	51.0027
H5	Healthy_control	50938465	107803752	86.71086771067797	6769280	13.289132289322028	0	0.0	40087077	78.69706517461805	4082108	8.01380253605993	0	0.0	6.16774	78.0449	149.852	36.1228	50.2803
H6	Healthy_control	43570688	89795216	85.5819214973149	6282056	14.418078502685109	0	0.0	33957842	77.9373554991833	3330790	7.644565998131587	0	0.0	5.73799	69.8544	149.855	36.1822	49.8755
HD4	Healthy_control	48927072	100708790	84.59972630285336	7534903	15.400273697146643	0	0.0	37671168	76.99452769215375	3721001	7.605198610699615	0	0.0	6.03346	74.5186	149.853	36.182	50.3908
