Feature	A1	A2	A3	A5	HD4	H5	H6	A4	H1	H2
PC1 (88.003087747738391%)	-564582	222479	-247651	-1.75566e+06	591814	522608	600675	-254142	440056	444405
PC2 (4.5672207876177495%)	-172284	-314128	94517.1	-18597.8	12017.5	154.516	64877.1	330965	-51013	53491.2
PC3 (2.8278653791451127%)	-282267	54920.1	-120621	197609	54778.7	79280.6	90732.1	-71812.6	-10030.8	7410.46
PC4 (1.6774054167533439%)	46226.9	4066.32	-222260	2576.79	-27378.5	23312.9	-39697	131100	139524	-57471.8
PC5 (1.2319923638451535%)	98814	-164166	-49765.4	32422.6	37038.7	76723.4	100382	-104533	1639.11	-28555.6
PC6 (0.91419678065323018%)	-37153.2	-65690.8	40521.3	25456.3	27218.4	-75712.2	-65089.4	-64076.5	160314	54211.9
PC7 (0.5019964570239952%)	-25317.8	7644.62	64999.6	-8626.94	8571.38	34868.1	5808.71	3626.27	48337.8	-139912
PC8 (0.16262598031642836%)	-3551.33	6515.09	6988.24	-1572.42	-70594.1	-18755.1	56036.5	-3514.97	22942.9	5505.15
PC9 (0.11360908690661989%)	5663.39	6944.26	-9948.91	529.43	37545.6	-57752.9	32991.5	6671.94	-5049.6	-17594.7
PC10 (3.9275963585523755e-16%)	-0.00934191	-0.00829499	0.0138876	0.035064	0.00268745	-0.012042	0.00325215	-0.00282956	0.000350592	-0.0227333
