#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:30337941	(2018) Meta-Analysis Identification of Highly Robust and Differential Immune-Metabolic Signatures of Systemic Host Response to Acute and Latent Tuberculosis in Children and Adults.	45	151	0.66	5.32e-08	9606.ENSP00000212355,9606.ENSP00000229402,9606.ENSP00000231009,9606.ENSP00000241356,9606.ENSP00000246657,9606.ENSP00000257749,9606.ENSP00000258443,9606.ENSP00000264072,9606.ENSP00000264972,9606.ENSP00000265165,9606.ENSP00000265769,9606.ENSP00000266557,9606.ENSP00000281821,9606.ENSP00000283285,9606.ENSP00000300692,9606.ENSP00000306157,9606.ENSP00000308117,9606.ENSP00000310244,9606.ENSP00000317327,9606.ENSP00000319476,9606.ENSP00000320509,9606.ENSP00000321077,9606.ENSP00000323280,9606.ENSP00000324890,9606.ENSP00000331040,9606.ENSP00000338171,9606.ENSP00000340347,9606.ENSP00000342105,9606.ENSP00000342681,9606.ENSP00000349723,9606.ENSP00000354782,9606.ENSP00000356058,9606.ENSP00000357169,9606.ENSP00000358490,9606.ENSP00000359663,9606.ENSP00000360181,9606.ENSP00000365596,9606.ENSP00000367013,9606.ENSP00000378974,9606.ENSP00000386559,9606.ENSP00000388620,9606.ENSP00000398655,9606.ENSP00000433277,9606.ENSP00000451506,9606.ENSP00000481056	TGFBR3,KLRB1,GZMK,ADORA3,CCR7,BACH2,EDAR,FCER2,ZAP70,LEF1,ADAM28,CD27,EPHA4,CD96,CD3D,IL7R,CD248,RASGRP1,UBASH3A,ICOS,BANK1,SIGLEC8,CD6,CD28,OLIG2,SKAP1,TCF7,DYRK2,CD5,BCL11B,CD247,FCMR,FCRL3,CD2,CD40LG,SH2D1A,GPR183,TNFRSF25,MAPK8,CD8A,EOMES,ITK,MS4A1,TCL1A,FCGBP
PMID:28615725	(2017) Transcriptome analysis reveals similarities between human blood CD3(-) CD56(bright) cells and mouse CD127(+) innate lymphoid cells.	33	95	0.72	2.14e-06	9606.ENSP00000008527,9606.ENSP00000177694,9606.ENSP00000229402,9606.ENSP00000240618,9606.ENSP00000261523,9606.ENSP00000265165,9606.ENSP00000266551,9606.ENSP00000266557,9606.ENSP00000282356,9606.ENSP00000288135,9606.ENSP00000305372,9606.ENSP00000306157,9606.ENSP00000327025,9606.ENSP00000328472,9606.ENSP00000332812,9606.ENSP00000340347,9606.ENSP00000344544,9606.ENSP00000349723,9606.ENSP00000353731,9606.ENSP00000357036,9606.ENSP00000357122,9606.ENSP00000358092,9606.ENSP00000365596,9606.ENSP00000366897,9606.ENSP00000367384,9606.ENSP00000368144,9606.ENSP00000368632,9606.ENSP00000382800,9606.ENSP00000386834,9606.ENSP00000388620,9606.ENSP00000398568,9606.ENSP00000422793,9606.ENSP00000429633	CRY1,TBX21,KLRB1,KLRK1,RORA,LEF1,KLRG1,CD27,CAMK4,KIT,ADRB2,IL7R,RORC,S1PR5,PTGDR2,TCF7,IKZF3,BCL11B,DPP4,SLAMF6,PYHIN1,PRDM1,GPR183,KLF12,GPR34,PRR5L,GATA3,RUNX3,AFF3,EOMES,PRF1,INPP4B,MYBL1
PMID:23644507	(2013) The transcriptional landscape of alphabeta T cell differentiation.	35	106	0.7	2.14e-06	9606.ENSP00000155926,9606.ENSP00000216223,9606.ENSP00000217740,9606.ENSP00000222725,9606.ENSP00000245907,9606.ENSP00000264972,9606.ENSP00000265165,9606.ENSP00000288135,9606.ENSP00000300692,9606.ENSP00000306157,9606.ENSP00000310244,9606.ENSP00000311032,9606.ENSP00000324890,9606.ENSP00000327025,9606.ENSP00000330190,9606.ENSP00000331172,9606.ENSP00000340347,9606.ENSP00000340874,9606.ENSP00000342681,9606.ENSP00000344544,9606.ENSP00000349723,9606.ENSP00000353731,9606.ENSP00000354566,9606.ENSP00000354782,9606.ENSP00000359663,9606.ENSP00000368632,9606.ENSP00000381185,9606.ENSP00000386559,9606.ENSP00000388620,9606.ENSP00000398655,9606.ENSP00000412326,9606.ENSP00000412869,9606.ENSP00000431445,9606.ENSP00000448696,9606.ENSP00000477713	TRIB2,IL2RB,RNF125,LFNG,C3,ZAP70,LEF1,KIT,CD3D,IL7R,RASGRP1,CASP3,CD28,RORC,POU6F1,CD8B,TCF7,MEF2C,CD5,IKZF3,BCL11B,DPP4,CD3E,CD247,CD40LG,GATA3,BCL2,CD8A,EOMES,ITK,ARPP21,IKZF2,CD3G,DTX3,LCK
PMID:33712472	(2021) The transcription factor Bcl11b promotes both canonical and adaptive NK cell differentiation.	35	113	0.67	4.84e-06	9606.ENSP00000216223,9606.ENSP00000229402,9606.ENSP00000246657,9606.ENSP00000251566,9606.ENSP00000257749,9606.ENSP00000261523,9606.ENSP00000265165,9606.ENSP00000266551,9606.ENSP00000266557,9606.ENSP00000276431,9606.ENSP00000288135,9606.ENSP00000292303,9606.ENSP00000296140,9606.ENSP00000300692,9606.ENSP00000306157,9606.ENSP00000317327,9606.ENSP00000323280,9606.ENSP00000334276,9606.ENSP00000339764,9606.ENSP00000340347,9606.ENSP00000340874,9606.ENSP00000342681,9606.ENSP00000344544,9606.ENSP00000349723,9606.ENSP00000356172,9606.ENSP00000356906,9606.ENSP00000358092,9606.ENSP00000358490,9606.ENSP00000368632,9606.ENSP00000379330,9606.ENSP00000381185,9606.ENSP00000386559,9606.ENSP00000387683,9606.ENSP00000412869,9606.ENSP00000431445	IL2RB,KLRB1,CCR7,UGT2A3,BACH2,RORA,LEF1,KLRG1,CD27,TNFRSF10B,KIT,CCR5,CCR1,CD3D,IL7R,UBASH3A,CD6,UGT2B28,PRDM8,TCF7,MEF2C,CD5,IKZF3,BCL11B,SOX13,SH2D1B,PRDM1,CD2,GATA3,NFATC2,BCL2,CD8A,UGT2B11,IKZF2,CD3G
PMID:29985393	(2018) TCR signal strength controls thymic differentiation of iNKT cell subsets.	26	59	0.82	4.84e-06	9606.ENSP00000177694,9606.ENSP00000216223,9606.ENSP00000246657,9606.ENSP00000261523,9606.ENSP00000264972,9606.ENSP00000266269,9606.ENSP00000266557,9606.ENSP00000279488,9606.ENSP00000292303,9606.ENSP00000300692,9606.ENSP00000306157,9606.ENSP00000312326,9606.ENSP00000323280,9606.ENSP00000327025,9606.ENSP00000338272,9606.ENSP00000340347,9606.ENSP00000342681,9606.ENSP00000357036,9606.ENSP00000358490,9606.ENSP00000360181,9606.ENSP00000368632,9606.ENSP00000381185,9606.ENSP00000382800,9606.ENSP00000386559,9606.ENSP00000388620,9606.ENSP00000431445	TBX21,IL2RB,CCR7,RORA,ZAP70,PATZ1,CD27,DUSP6,CCR5,CD3D,IL7R,AOC3,CD6,RORC,HEY1,TCF7,CD5,SLAMF6,CD2,SH2D1A,GATA3,BCL2,RUNX3,CD8A,EOMES,CD3G
PMID:37898752	(2023) CD28PD1 co-expression: dual impact on CD8(+) T cells in peripheral blood and tumor tissue, and its significance in NSCLC patients survival and ICB response.	33	103	0.69	6.24e-06	9606.ENSP00000216223,9606.ENSP00000229402,9606.ENSP00000231009,9606.ENSP00000240618,9606.ENSP00000246657,9606.ENSP00000261693,9606.ENSP00000265165,9606.ENSP00000266551,9606.ENSP00000266557,9606.ENSP00000267082,9606.ENSP00000292303,9606.ENSP00000295756,9606.ENSP00000306157,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000331172,9606.ENSP00000340347,9606.ENSP00000353731,9606.ENSP00000354566,9606.ENSP00000357012,9606.ENSP00000358092,9606.ENSP00000359663,9606.ENSP00000380227,9606.ENSP00000381185,9606.ENSP00000382800,9606.ENSP00000386559,9606.ENSP00000388620,9606.ENSP00000398568,9606.ENSP00000412869,9606.ENSP00000419085,9606.ENSP00000469049,9606.ENSP00000477713,9606.ENSP00000483018	IL2RB,KLRB1,GZMK,KLRK1,CCR7,SCARB1,LEF1,KLRG1,CD27,ITGB7,CCR5,TRAT1,IL7R,ICOS,CD28,CD8B,TCF7,DPP4,CD3E,CD244,PRDM1,CD40LG,ITGA4,BCL2,RUNX3,CD8A,EOMES,PRF1,IKZF2,TIGIT,TNFSF14,LCK,ABO
PMID:22902830	(2012) Molecular definition of the identity and activation of natural killer cells.	33	103	0.69	6.24e-06	9606.ENSP00000177694,9606.ENSP00000217740,9606.ENSP00000231009,9606.ENSP00000240618,9606.ENSP00000248598,9606.ENSP00000263708,9606.ENSP00000264316,9606.ENSP00000264972,9606.ENSP00000266551,9606.ENSP00000266557,9606.ENSP00000271450,9606.ENSP00000276420,9606.ENSP00000292303,9606.ENSP00000312326,9606.ENSP00000317327,9606.ENSP00000318803,9606.ENSP00000326119,9606.ENSP00000328472,9606.ENSP00000332973,9606.ENSP00000338171,9606.ENSP00000342681,9606.ENSP00000354782,9606.ENSP00000358092,9606.ENSP00000366897,9606.ENSP00000376123,9606.ENSP00000381185,9606.ENSP00000382800,9606.ENSP00000386559,9606.ENSP00000388620,9606.ENSP00000398568,9606.ENSP00000398655,9606.ENSP00000422896,9606.ENSP00000477713	TBX21,RNF125,GZMK,KLRK1,FGL2,PTPN4,TXK,ZAP70,KLRG1,CD27,FCGR2A,DOK2,CCR5,AOC3,UBASH3A,SYTL2,PMAIP1,S1PR5,SMAD3,SKAP1,CD5,CD247,PRDM1,KLF12,SH2D2A,BCL2,RUNX3,CD8A,EOMES,PRF1,ITK,SEPTIN11,LCK
PMID:25557485	(2015) Transcriptomic correlates of organ failure extent in sepsis.	21	37	0.93	8.08e-06	9606.ENSP00000177694,9606.ENSP00000216223,9606.ENSP00000240618,9606.ENSP00000241356,9606.ENSP00000246657,9606.ENSP00000264972,9606.ENSP00000265165,9606.ENSP00000300692,9606.ENSP00000319476,9606.ENSP00000324890,9606.ENSP00000331172,9606.ENSP00000354566,9606.ENSP00000354782,9606.ENSP00000357012,9606.ENSP00000359663,9606.ENSP00000360181,9606.ENSP00000368632,9606.ENSP00000386559,9606.ENSP00000398655,9606.ENSP00000431445,9606.ENSP00000477713	TBX21,IL2RB,KLRK1,ADORA3,CCR7,ZAP70,LEF1,CD3D,ICOS,CD28,CD8B,CD3E,CD247,CD244,CD40LG,SH2D1A,GATA3,CD8A,ITK,CD3G,LCK
PMID:37624388	(2023) Defective LAT signalosome pathology in mice mimics human IgG4-related disease at single-cell level.	28	76	0.75	1.11e-05	9606.ENSP00000177694,9606.ENSP00000231009,9606.ENSP00000244007,9606.ENSP00000246006,9606.ENSP00000261523,9606.ENSP00000264072,9606.ENSP00000264972,9606.ENSP00000266551,9606.ENSP00000266557,9606.ENSP00000300692,9606.ENSP00000311300,9606.ENSP00000312326,9606.ENSP00000319476,9606.ENSP00000323280,9606.ENSP00000324890,9606.ENSP00000334958,9606.ENSP00000340347,9606.ENSP00000342681,9606.ENSP00000354782,9606.ENSP00000360181,9606.ENSP00000362401,9606.ENSP00000367013,9606.ENSP00000381185,9606.ENSP00000386559,9606.ENSP00000388620,9606.ENSP00000420298,9606.ENSP00000431445,9606.ENSP00000477713	TBX21,GZMK,PLCG1,CD93,RORA,FCER2,ZAP70,KLRG1,CD27,CD3D,CTSW,AOC3,ICOS,CD6,CD28,CARMIL2,TCF7,CD5,CD247,SH2D1A,CYSLTR1,TNFRSF25,BCL2,CD8A,EOMES,CD200,CD3G,LCK
PMID:26791859	(2016) Forging T-Lymphocyte Identity: Intersecting Networks of Transcriptional Control.	36	131	0.62	1.69e-05	9606.ENSP00000177694,9606.ENSP00000216223,9606.ENSP00000222725,9606.ENSP00000244174,9606.ENSP00000246006,9606.ENSP00000261523,9606.ENSP00000264972,9606.ENSP00000265165,9606.ENSP00000286301,9606.ENSP00000300692,9606.ENSP00000306157,9606.ENSP00000327025,9606.ENSP00000339992,9606.ENSP00000340347,9606.ENSP00000340874,9606.ENSP00000344724,9606.ENSP00000349723,9606.ENSP00000350844,9606.ENSP00000354566,9606.ENSP00000354782,9606.ENSP00000360181,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000376436,9606.ENSP00000382800,9606.ENSP00000384018,9606.ENSP00000386559,9606.ENSP00000388620,9606.ENSP00000398568,9606.ENSP00000398655,9606.ENSP00000400892,9606.ENSP00000412869,9606.ENSP00000431445,9606.ENSP00000434552,9606.ENSP00000451828,9606.ENSP00000477713	TBX21,IL2RB,LFNG,IL9R,CD93,RORA,ZAP70,LEF1,CSF1R,CD3D,IL7R,RORC,MYB,TCF7,MEF2C,TOX2,BCL11B,PAX5,CD3E,CD247,SH2D1A,GATA1,GATA3,ETS1,RUNX3,NCOR2,CD8A,EOMES,PRF1,ITK,TESPA1,IKZF2,CD3G,MAML2,AKT1,LCK
