microRNA ID	P-value (EV CL1-5 vs. CE CL1-5)	FDR step up (EV CL1-5 vs. CE CL1-5)	Ratio (EV CL1-5 vs. CE CL1-5)	Log2(Ratio) (EV CL1-5 vs. CE CL1-5)	Fold change (EV CL1-5 vs. CE CL1-5)	LSMean(EV CL1-5) (EV CL1-5 vs. CE CL1-5)	LSMean(CE CL1-5) (EV CL1-5 vs. CE CL1-5)
hsa-miR-379-3p	1.4714286285600474E-9	3.3706452424407564E-7	2.0062960201901287E-4	-12.283177894560058E0	-4984.309343868578E0	0.010000000000005116E0	49.843093510375475E0
hsa-miR-4798-5p	1.5135387982021527E-9	3.3706452424407564E-7	4.602595476744241E-4	-11.085264730240048E0	-2172.687139360278E0	0.00999999999999801E0	21.726871421790722E0
hsa-miR-412-5p	2.1001876494108568E-9	3.3706452424407564E-7	2.03636845878901E-4	-12.261713754494618E0	-4910.702656407678E0	0.010000000000005116E0	49.10702663458441E0
hsa-miR-127-5p	2.6941063647092164E-9	3.3706452424407564E-7	2.087559431305999E-4	-12.225895108894528E0	-4790.282781910499E0	0.010000000000005116E0	47.90282788768278E0
hsa-miR-380-3p	3.0771568017574775E-9	3.3706452424407564E-7	4.763990818456418E-4	-11.035541746821847E0	-2099.0804518888854E0	0.00999999999999801E0	20.990804545999655E0
hsa-miR-154-3p	3.3372725172680756E-9	3.3706452424407564E-7	4.3910575641844504E-4	-11.153143932076777E0	-2277.3557061890388E0	0.00999999999999801E0	22.773557091617217E0
hsa-miR-410-3p	6.645501287984196E-9	5.753105400740604E-7	0.0017276787572622397E0	-9.176949295395202E0	-578.8113072505716E0	0.009999999999999787E0	5.788113078723179E0
hsa-miR-1262	3.400823719520761E-8	2.5761239675369765E-6	7.928383349540427E-4	-10.30068565881237E0	-1261.2911812065263E0	0.009999999999999787E0	12.612911827272852E0
hsa-miR-376a-5p	7.087977300949363E-8	4.772571382639238E-6	8.231003236402642E-4	-10.246644095199839E0	-1214.9187301705517E0	0.009999999999999787E0	12.149187316277137E0
hsa-miR-548a-5p	1.8588974689868098E-7	1.0782177531262861E-5	8.179463876266321E-4	-10.255706094866493E0	-1222.5740160080882E0	0.009999999999999787E0	12.225740174757282E0
hsa-miR-491-3p	1.957160938018011E-7	1.0782177531262861E-5	7.362119670688837E-4	-10.407591178739983E0	-1358.3044622071934E0	0.009999999999999787E0	13.5830446386192E0
