microRNA ID	P-value (EV CL1-0 vs. CE CL1-0)	FDR step up (EV CL1-0 vs. CE CL1-0)	Ratio (EV CL1-0 vs. CE CL1-0)	Log2(Ratio) (EV CL1-0 vs. CE CL1-0)	Fold change (EV CL1-0 vs. CE CL1-0)	LSMean(EV CL1-0) (EV CL1-0 vs. CE CL1-0)	LSMean(CE CL1-0) (EV CL1-0 vs. CE CL1-0)
hsa-miR-651-5p	2.338623868387804E-9	1.1469911612338042E-6	2.6733040927881686E-5	-15.191016518560145E0	-37406.89294187377E0	0.009999999999990905E0	374.06893008355553E0
hsa-miR-6084	3.785449377009255E-9	1.1469911612338042E-6	213179.621902708E0	17.70171001016513E0	213179.621902708E0	2131.7962234442844E0	0.009999999999999998E0
hsa-miR-4450	6.687233591749056E-9	1.1637831393550344E-6	2.450263210900525E-4	-11.994775645560615E0	-4081.194198040782E0	0.010000000000005116E0	40.811942037730205E0
hsa-miR-18b-3p	7.68173689343257E-9	1.1637831393550344E-6	0.0010809661823020923E0	-9.853462895158652E0	-925.0983207174329E0	0.009999999999999787E0	9.250983217844107E0
hsa-let-7c-3p	1.1386141006641457E-8	1.3800002900049447E-6	2.2980924863182526E-5	-15.409203614282319E0	-43514.34965970793E0	0.009999999999990905E0	435.14349738155613E0
hsa-miR-4783-3p	4.9106657544471466E-8	4.626477541723023E-6	9.904217064596495E-4	-9.979669445996338E0	-1009.6709244939602E0	0.009999999999999787E0	10.096709256733973E0
hsa-miR-1286	5.3441159722873206E-8	4.626477541723023E-6	4.734088671160126E-4	-11.04462565103397E0	-2112.33897263471E0	0.00999999999999801E0	21.123389753651615E0
hsa-miR-556-3p	1.6148184297688559E-7	9.416883234859619E-6	4.931534595663202E-4	-10.985675725025748E0	-2027.766368869036E0	0.00999999999999801E0	20.27766371476175E0
hsa-miR-4677-3p	1.8243576196119564E-7	9.416883234859619E-6	4.658067880263565E-4	-11.06798071599765E0	-2146.8128539668633E0	0.00999999999999801E0	21.468128567477436E0
hsa-miR-338-3p	1.8658482409113802E-7	9.416883234859619E-6	3.093037656406883E-5	-14.980616076709355E0	-32330.67654150965E0	0.009999999999990905E0	323.30676598173454E0
hsa-miR-196a-3p	1.8873761209166535E-7	9.416883234859619E-6	0.0010611934424795753E0	-9.880096618920106E0	-942.3352613859059E0	0.009999999999999787E0	9.423352624757019E0
hsa-miR-3143	1.9740928455862944E-7	9.416883234859619E-6	8.859613500154847E-4	-10.140468616838273E0	-1128.7174096054214E0	0.00999999999999801E0	11.287174109449662E0
hsa-miR-491-3p	2.1448550041481987E-7	9.416883234859619E-6	8.415803635248245E-4	-10.214611336725149E0	-1188.2406521602527E0	0.00999999999999801E0	11.882406535807506E0
hsa-miR-1278	2.6040281242741935E-7	9.416883234859619E-6	4.6957706168361985E-4	-11.056350443425915E0	-2129.575913300798E0	0.00999999999999801E0	21.29575916056453E0
