Chromosome	Start	Stop	Length	Strand	Gene Symbol	gene_id	gene_name	gene_type	havana_gene	hgnc_id	level	ont	A1	A2	A3	A5	HD4	H5	H6	A4	H1	H2
20	50934867	50959141	24274	-	ENSG00000000419.14	ENSG00000000419.14	DPM1	protein_coding	OTTHUMG00000032742.2	HGNC:3005	2	---	350	360.002	909.254	541.065	774.001	1039	1019	373	368	531.098
1	169849631	169894268	44637	-	ENSG00000000457.14	ENSG00000000457.14	SCYL3	protein_coding	OTTHUMG00000035941.6	HGNC:19285	2 | 3	---	395.927	357.174	426.592	313.648	617.16	852.09	837.538	428.101	404.726	359.961
1	169662007	169854081	192074	+	ENSG00000000460.17	ENSG00000000460.17	C1orf112	protein_coding	OTTHUMG00000035821.9	HGNC:25565	2 | 3	---	4.07277	36.8261	45.4079	15.3517	84.8392	98.9119	92.4626	39.8985	37.274	43.0389
1	27612064	27635186	23122	-	ENSG00000000938.13	ENSG00000000938.13	FGR	protein_coding	OTTHUMG00000003516.3	HGNC:3697	2 | 3	---	31688.2	21542.2	31153.8	31816.5	28735.3	39651.4	32358.7	16036.6	23033.7	20259.1
1	196651754	196752477	100723	+	ENSG00000000971.17	ENSG00000000971.17	CFH	protein_coding	OTTHUMG00000035607.6	HGNC:4883	1 | 2	---	0	0	6	1.01653	6	2.99999	11.9983	50.4526	4.9968	2
6	143494812	143511721	16909	-	ENSG00000001036.14	ENSG00000001036.14	FUCA2	protein_coding	OTTHUMG00000015728.3	HGNC:4008	2	---	50	24.7739	343.897	86	252.969	238.451	202.837	251	38.4924	92
6	53497341	53616971	119630	-	ENSG00000001084.13	ENSG00000001084.13	GCLC	protein_coding	OTTHUMG00000160220.13	HGNC:4311	1 | 2	---	15	21	86	19	204	150	170	58	39	40
6	41072974	41102404	29430	+	ENSG00000001167.15	ENSG00000001167.15	NFYA	protein_coding	OTTHUMG00000014669.1	HGNC:7804	2	---	1115	1760.9	3060.01	1812.99	2209.95	2682.88	2814	1276	1181.96	1163
1	24356999	24416935	59936	-	ENSG00000001460.18	ENSG00000001460.18	STPG1	protein_coding	OTTHUMG00000003297.4	HGNC:28070	2	---	11	20	17	11	18	9	18	8	10	7
1	24415802	24472977	57175	+	ENSG00000001461.17	ENSG00000001461.17	NIPAL3	protein_coding	OTTHUMG00000003299.4	HGNC:25233	2	---	20	19	62	11	185	185	134	33	60	84
X	65438549	65534811	96262	-	ENSG00000001497.18	ENSG00000001497.18	LAS1L	protein_coding	OTTHUMG00000021720.2	HGNC:25726	2	---	17	20	135	27	180	209	206	74	48	52
6	46129989	46146689	16700	+	ENSG00000001561.7	ENSG00000001561.7	ENPP4	protein_coding	OTTHUMG00000014779.3	HGNC:3359	2	---	24	9	274	16	91	62	105	21	17	4
